Position,Name,Nation,Points,Team,Captain
Prop,S. Ferrari,Italy,33.00,1st,No
Prop,M. Milne,Ireland,18.00,1st,No
Hooker,G. Nicotera,Italy,20.00,1st,No
Second Row,M. Guillard,France,42.00,1st,No
Second Row,T. Beirne,Ireland,39.00,1st,No
Back Row,L. Cannone,Italy,44.00,1st,No
Back Row,B. Earl,England,50.00,1st,No
Back Row,J. Dempsey,Scotland,40.00,1st,No
Scrum Half,A. Dupont,France,30.00,1st,No
Fly Half,G. Ford,England,55.00,1st,Yes
Centre,N. Depoortere,France,36.00,1st,No
Centre,T. Menoncello,Italy,34.00,1st,No
Back Three,T. Freeman,England,50.00,1st,No
Back Three,L. Bielle-Biarrey,France,51.00,1st,No
Back Three,H. Arundell,England,46.00,1st,No
Prop,D. Fischetti,Italy,19.00,2nd,No
Prop,B. Rodd,England,17.00,2nd,No
Hooker,P. Mauvaka,France,20.00,2nd,No
Second Row,N. Cannone,Italy,31.00,2nd,No
Second Row,O. Chessum,England,30.00,2nd,No
Back Row,M. Lamaro,Italy,37.00,2nd,No
Back Row,C. Doris,Ireland,34.00,2nd,No
Back Row,N. Timoney,Ireland,33.00,2nd,No
Scrum Half,B. White,Scotland,26.00,2nd,No
Fly Half,M. Jalibert,France,52.00,2nd,Yes
Centre,S. McCloskey,Ireland,27.00,2nd,No
Centre,F. Dingwall,England,20.00,2nd,No
Back Three,T. Ramos,France,46.00,2nd,No
Back Three,T. Attissogbe,France,32.00,2nd,No
Back Three,J. Osborne,Ireland,21.00,2nd,No
